,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
lpinca,0,3,2,3,0,1,1,1,0,10,8,0,0,1,6,7,4,2,5,5,1,6,12,1,2,2,2,11,2,2,2,5,4,5,6,0,3,0,1,0,5,9,1,0,7,2,3,4,5,6,0
LiviaMedeiros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,18,15,9,9,3,3,1,0,1,1,2,2,1,1,1,5,18,14,0,0,0,0,1,0
niyashiyas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
bmuenzenmeyer (new),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,11,1,1,8,4,0,3,2,5
StefanStojanovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,3,9,3,3,6,4,1,0,6,3,5,2,0,1
zcbenz (new),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,6,0,2,8,2,5,8,0
atlowChemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,7,4,4,0,0,0,1,1,3
deokjinkim (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,35,26,2,7,6,3,2,1,4,7,0,5,0,0,1,0
debadree25 (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,17,12,6,3,4,1,0,0,3,2,0,0,1,0,0
VoltrexKeyva (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,13,5,14,6,6,3,0,6,2,0,1,0,0,0,1,0,0,1,2,0,3,4,15,2,2,0,2,1,2,1,0,2,0,0
